1,Michael,Scott,NULL,Mr,1987-13-2,1964-03-15,M.Scott,Management,Michael.Scott@Dmifflin.com,,M,60,Employeed
2,Dwight,Schrute,Kurt,Mr,1994-06-25,1975-04-12,D.Schrute,Sales,Dwight.Schrute@Dmifflin.com,,M,45,Employeed
3,Jim,Halpert,Duncan,Mr,1995-06-26,1977-06-01,J.Halpert,Sales,Jim.Halpert@Dmifflin.com,,M,45,Employeed
4,Pam,Beesly,Morgan,Mrs,1990-08-15,1975-09-02,P.Beesly,Sales,Pam.Beesly@Dmifflin.com,,F,45,Employeed
5,Ryan,Howard,Bailey,Mr,1979-03-09,2001-05-02,R.Howard,Sales,Ryan.Howard@Dmifflin.com,,M,50,Employeed
6,Darryl,Philbin,Mathias,Mr,1991-02-13,1967-04-21,D.Philbin,Logistics,Darryl.Philbin@Dmifflin.com,,M,40,Employeed
7,Roy,Anderson,Allan,Mr,1991-04-11,1971-04-25,R.Anderson,Warehouse,Roy.Anderson@Dmifflin.com,,M,35,Terminated
8,Charles,Miner,NULL,Mr,1990-05-11,1973-01-20,C.Miner,Warehouse,Charles.Miner@Dmifflin.com,,M,30,Employeed
9,Cathey,Sims,NULL,Mrs,1990-05-11,NULL,C.Cims,Warehouse,Cathey.Sims@Dmifflin.com,,F,30,Employeed
10,Ben,Nugent,NULL,Mr,1995-02-27,1969-02-07,B.Nugent,Warehouse,Ben.Nugent@Dmifflin.com,,M,30,Employeed
